Date,Open,High,Low,Close,Adj Close,Volume
2021-02-25,28.073374,28.556829,24.595961,24.668047,24.668047,2016768740
2021-02-26,24.734232,26.948971,23.761681,25.187313,25.187313,170549323809
2021-02-27,25.197746,27.39061,24.906771,26.235098,26.235098,1874410773
2021-02-28,26.233128,26.753889,23.075171,24.663532,24.663532,2019851813
2021-03-01,24.672752,27.6521,24.672752,27.607061,27.607061,2279573087
2021-03-02,27.610775,30.453392,27.212185,28.511183,28.511183,2745094103
2021-03-03,28.507318,31.375931,28.25359,29.990028,29.990028,1999664567
2021-03-04,29.962152,30.525612,27.363001,27.718739,27.718739,1935423706
2021-03-05,27.709379,28.162182,25.732033,27.875414,27.875414,1739847948
2021-03-06,27.85607,28.332922,26.408211,28.165104,28.165104,1130900770
2021-03-07,28.170189,29.017668,27.469318,28.548212,28.548212,1305530074
2021-03-08,28.56278,31.69816,28.381433,31.69816,31.69816,2212810142
2021-03-09,31.703249,31.929762,30.454853,31.499252,31.499252,1630964651
2021-03-10,31.494772,31.74357,29.516371,29.946716,29.946716,1606531493
2021-03-11,29.908989,30.37233,28.725658,30.075174,30.075174,1537882621
2021-03-12,30.084864,30.357813,27.85881,28.461523,28.461523,1435032009
2021-03-13,28.459606,30.534563,27.111362,29.779226,29.779226,1739486182
2021-03-14,29.771164,30.139717,28.603077,28.789425,28.789425,1062176149
2021-03-15,28.770273,29.38475,26.904203,27.491762,27.491762,1557817115
2021-03-16,27.490459,28.137276,26.503933,27.917419,27.917419,1213205843
2021-03-17,27.919167,31.212374,27.428633,31.00976,31.00976,2339727784
2021-03-18,31.000847,31.293095,29.177444,29.504812,29.504812,1427732613
2021-03-19,29.493977,30.52186,28.880751,29.909876,29.909876,1116478173
2021-03-20,29.901402,31.482115,29.676926,29.676926,29.676926,1199973273
2021-03-21,29.680508,30.143036,28.733929,29.272839,29.272839,969809465
2021-03-22,29.278851,29.429117,27.393961,27.398113,27.398113,1083074169
2021-03-23,27.386091,27.994059,26.75918,26.915058,26.915058,1124961035
2021-03-24,26.905611,27.895296,24.261391,25.053885,25.053885,1401912784
2021-03-25,25.025866,26.634075,24.61805,25.696287,25.696287,1351900684
2021-03-26,25.688574,27.458891,25.456322,27.401567,27.401567,1139989327
2021-03-27,27.400238,27.505573,26.082783,26.879543,26.879543,783605885
2021-03-28,26.880783,27.68408,26.231775,26.696995,26.696995,804341769
2021-03-29,26.698057,28.521729,26.479179,28.052568,28.052568,1122700330
2021-03-30,28.05176,28.573359,27.680088,27.904049,27.904049,923736996
2021-03-31,27.903246,29.351137,26.685141,29.351137,29.351137,1419202876
2021-04-01,29.384026,31.190813,29.384026,30.233219,30.233219,1814724171
2021-04-02,30.218601,32.6786,29.728731,32.533249,32.533249,1564647602
2021-04-03,32.53228,33.223904,29.493265,29.534889,29.534889,1713670580
2021-04-04,29.527414,31.589676,29.261475,30.957281,30.957281,1148273070
2021-04-05,30.959606,32.631809,30.010635,32.396656,32.396656,1463086928
2021-04-06,32.421635,34.952614,31.395437,34.797878,34.797878,2839348208
2021-04-07,34.791061,35.112812,30.289154,31.175184,31.175184,2513971688
2021-04-08,31.200308,32.867687,31.049114,32.7449,32.7449,1227213106
2021-04-09,32.743259,33.280163,31.297255,31.632467,31.632467,1021522189
2021-04-10,31.628187,33.033737,31.054617,31.899261,31.899261,1054977271
2021-04-11,31.905027,34.423832,31.768351,33.919182,33.919182,1365984051
2021-04-12,33.944595,34.156017,31.936512,33.105427,33.105427,1169762437
2021-04-13,33.086727,35.873318,32.434258,35.456635,35.456635,1775182127
2021-04-14,35.492863,42.028606,35.124142,41.42371,41.42371,3821675577
2021-04-15,41.343018,44.400566,39.807831,42.753162,42.753162,3655212066
2021-04-16,42.61618,43.188801,38.755375,42.101555,42.101555,3017897774
2021-04-17,42.082703,44.068386,40.313541,40.372066,40.372066,2183873341
2021-04-18,40.403812,40.753445,30.279163,39.06591,39.06591,4447232523
2021-04-19,39.118294,41.922482,34.962402,35.879383,35.879383,3408804481
2021-04-20,35.712509,39.308163,33.388206,38.950634,38.950634,3207615683
2021-04-21,38.997623,39.450905,35.978542,36.436359,36.436359,2055648964
2021-04-22,36.269825,40.740356,33.948368,35.233406,35.233406,3244017655
2021-04-23,35.202728,35.904381,30.316687,35.058479,35.058479,3600828195
2021-04-24,35.14756,35.264618,31.059839,31.125198,31.125198,1642552575
2021-04-25,31.219704,33.400841,30.012566,31.540621,31.540621,1348819867
2021-04-26,31.661457,35.259735,31.416042,35.135986,35.135986,1676434079
2021-04-27,35.137051,37.601021,34.519119,36.808067,36.808067,1599200378
2021-04-28,36.789501,37.754398,34.979305,36.220837,36.220837,1471169508
2021-04-29,36.243481,37.357803,35.060619,36.445019,36.445019,1371222859
2021-04-30,36.453426,38.74305,35.850388,38.128506,38.128506,1478967959
2021-05-01,38.124157,41.208912,37.591599,41.116261,41.116261,1635368353
2021-05-02,41.235203,41.421841,38.742432,39.504856,39.504856,1469982885
2021-05-03,39.47295,42.67223,39.288319,42.059807,42.059807,1842337157
2021-05-04,42.053818,48.522003,38.964466,45.686138,45.686138,5428570251
2021-05-05,45.509521,51.173195,44.953472,49.429295,49.429295,4918560956
2021-05-06,49.546524,49.776718,45.559284,47.127403,47.127403,2972637925
2021-05-07,47.138626,51.911564,45.773697,49.311199,49.311199,3471006689
2021-05-08,49.158051,50.223625,46.729218,48.608906,48.608906,2167384860
2021-05-09,48.620213,52.34251,46.255371,52.198696,52.198696,3032923002
2021-05-10,52.247688,52.876087,41.219528,46.468697,46.468697,3626979218
